Fantasquadra;Ruolo;Calciatore;Squadra;Prezzo;Prog
Salerno By Night;Portiere;BUFFON Gianluigi;Juventus;372;2
Salerno By Night;Portiere;STORARI Marco;Juventus;0;3
Salerno By Night;Difensore;BRIVIO Davide;Verona;1;1
Salerno By Night;Difensore;CANNAVARO Paolo;Sassuolo;1;2
Salerno By Night;Difensore;DE MAIO Sebastian;Genoa;1;3
Salerno By Night;Difensore;KOULIBALY Kalidou;Napoli;5;4
Salerno By Night;Difensore;LICHTSTEINER Stephan;Juventus;96;5
Salerno By Night;Difensore;MORETTI Emiliano;Torino;1;6
Salerno By Night;Difensore;MUNOZ Ezequiel;Palermo;1;7
Salerno By Night;Difensore;SAVIC Stefan;Fiorentina;3;8
Salerno By Night;Centrocampista;FELIPE ANDERSON;Lazio;1;1
Salerno By Night;Centrocampista;ASAMOAH Kwadwo;Juventus;41;2
Salerno By Night;Centrocampista;CASCIONE Emmanuel;Cesena;24;3
Salerno By Night;Centrocampista;HAMSIK Marek;Napoli;210;4
Salerno By Night;Centrocampista;INLER Gokhan;Napoli;1;5
Salerno By Night;Centrocampista;MORALEZ Maximiliano;Atalanta;150;6
Salerno By Night;Centrocampista;RIGONI Luca;Palermo;1;7
Salerno By Night;Centrocampista;ROMULO Souza Orestes;Juventus;1;8
Salerno By Night;Attaccante;BELFODIL Ishak;Parma;39;1
Salerno By Night;Attaccante;HIGUAIN Gonzalo;Napoli;647;2
Salerno By Night;Attaccante;KLOSE Miroslav;Lazio;181;3
Salerno By Night;Attaccante;PALOSCHI Alberto;Chievo;106;4
Salerno By Night;Attaccante;PINILLA Mauricio;Genoa;101;5
Salerno By Night;Attaccante;ZAPATA D.;Napoli;5;6
Tugnella;Portiere;DA COSTA Angelo Junior;Sampdoria;0;1
Tugnella;Portiere;PERIN Mattia;Genoa;60;2
Tugnella;Portiere;VIVIANO Emiliano;Sampdoria;70;3
Tugnella;Difensore;CASTAN Leandro da Silva;Roma;17;1
Tugnella;Difensore;COLE Ashley;Roma;13;2
Tugnella;Difensore;DANILO Larangeira;Udinese;13;3
Tugnella;Difensore;DE CEGLIE Paolo;Parma;7;4
Tugnella;Difensore;GLIK Kamil;Torino;18;5
Tugnella;Difensore;HOLEBAS Jose;Roma;6;6
Tugnella;Difensore;RADU Stefan;Lazio;15;7
Tugnella;Difensore;SORENSEN Frederic;Verona;1;8
Tugnella;Centrocampista;BIRSA Valter;Chievo;61;1
Tugnella;Centrocampista;CIGARINI Luca;Atalanta;36;2
Tugnella;Centrocampista;CUADRADO Juan Guillermo;Fiorentina;331;3
Tugnella;Centrocampista;DE JONG Nigel;Milan;21;4
Tugnella;Centrocampista;HALLFREDSSON Emil;Verona;2;5
Tugnella;Centrocampista;JORGINHO Luiz;Napoli;24;6
Tugnella;Centrocampista;NAINGGOLAN Radja;Roma;151;7
Tugnella;Centrocampista;PEROTTI Diego;Genoa;46;8
Tugnella;Attaccante;GABBIADINI Manolo;Sampdoria;80;1
Tugnella;Attaccante;ITURBE Juan;Roma;273;2
Tugnella;Attaccante;LJAJIC Adem;Roma;5;3
Tugnella;Attaccante;OKAKA Chuka Stefano;Sampdoria;35;4
Tugnella;Attaccante;OSVALDO Pablo Daniel;Inter;355;5
Tugnella;Attaccante;SAU Marco;Cagliari;356;6
